date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2022-05-30,sh.601360,8.1800,8.2200,8.0900,8.1300,8.1600,29799325,243191445.1800,3,0.417000,1,-0.367600,68.054028,1.699513,5.349388,-262.469289,0
2022-05-31,sh.601360,8.1900,8.3100,8.1300,8.2800,8.1300,46596916,383909112.1200,3,0.652100,1,1.845000,69.309637,1.730869,5.448085,-267.311896,0
2022-06-01,sh.601360,8.2500,8.4000,8.2100,8.2800,8.2800,37658818,312603714.9200,3,0.527000,1,0.000000,69.309637,1.730869,5.448085,-267.311896,0
2022-06-02,sh.601360,8.2300,8.3800,8.1600,8.3700,8.2800,40969312,339735285.2800,3,0.573400,1,1.087000,70.063003,1.749683,5.507303,-270.217460,0
2022-06-06,sh.601360,8.3600,8.4800,8.3200,8.4700,8.3700,52871321,445218806.9300,3,0.739900,1,1.194700,70.900076,1.770587,5.573101,-273.445864,0
2022-06-07,sh.601360,8.4700,8.5500,8.3600,8.4300,8.4700,43843070,369998591.1700,3,0.613600,1,-0.472300,70.565246,1.762226,5.546782,-272.154503,0
2022-06-08,sh.601360,8.4200,8.5500,8.3400,8.4500,8.4300,51137951,432102488.6900,3,0.715700,1,0.237200,70.732661,1.766407,5.559942,-272.800184,0
2022-06-09,sh.601360,8.4500,8.4900,8.2600,8.3100,8.4500,35257201,295150632.4800,3,0.493400,1,-1.656800,69.560759,1.737141,5.467824,-268.280417,0
2022-06-10,sh.601360,8.2700,8.4100,8.2500,8.4000,8.3100,35208954,293475531.0600,3,0.492800,1,1.083000,70.314125,1.755955,5.527043,-271.185981,0
2022-06-13,sh.601360,8.3100,8.3700,8.2300,8.3200,8.4000,38292220,317710129.7900,3,0.535900,1,-0.952400,69.644466,1.739231,5.474404,-268.603258,0
2022-06-14,sh.601360,8.2500,8.3200,8.0400,8.3000,8.3200,57898098,471921685.4300,3,0.810300,1,-0.240400,69.477052,1.735050,5.461244,-267.957577,0
2022-06-15,sh.601360,8.2500,8.4800,8.2100,8.3600,8.2000,79646983,667781828.8900,3,1.114700,1,1.951200,69.979295,1.747593,5.500723,-269.894619,0
2022-06-16,sh.601360,8.3600,8.6400,8.3600,8.5100,8.3600,75911218,645175328.2700,3,1.062400,1,1.794300,71.234905,1.778949,5.599420,-274.737226,0
2022-06-17,sh.601360,8.4100,8.4300,8.2400,8.3700,8.5100,55135790,460167977.6900,3,0.771600,1,-1.645100,70.063003,1.749683,5.507303,-270.217460,0
2022-06-20,sh.601360,8.3900,8.4200,8.3000,8.3800,8.3700,39516939,330374390.7300,3,0.553000,1,0.119500,70.146710,1.751774,5.513883,-270.540300,0
2022-06-21,sh.601360,8.3700,8.4600,8.2800,8.3500,8.3800,41600692,348173450.9300,3,0.582200,1,-0.358000,69.895588,1.745502,5.494143,-269.571779,0
2022-06-22,sh.601360,8.3500,8.3600,8.1400,8.1500,8.3500,43249787,356172370.1000,3,0.605300,1,-2.395200,68.221442,1.703694,5.362547,-263.114970,0
2022-06-23,sh.601360,8.2100,8.3300,8.1500,8.3200,8.1500,44745924,368973129.0200,3,0.626200,1,2.085900,69.644466,1.739231,5.474404,-268.603258,0
2022-06-24,sh.601360,8.3800,8.4700,8.3400,8.4000,8.3200,47444306,398160392.8900,3,0.664000,1,0.961500,70.314125,1.755955,5.527043,-271.185981,0
2022-06-27,sh.601360,8.3800,8.4200,8.2600,8.3100,8.4000,54644623,455524015.7800,3,0.764800,1,-1.071400,69.560759,1.737141,5.467824,-268.280417,0
2022-06-28,sh.601360,8.3100,8.4900,8.2300,8.4800,8.3100,69632417,584196410.2100,3,0.974500,1,2.045700,70.983783,1.772678,5.579681,-273.768705,0
2022-06-29,sh.601360,8.4300,8.7100,8.4200,8.4900,8.4800,114769104,984377294.5800,3,1.606200,1,0.117900,71.067490,1.774768,5.586261,-274.091545,0
2022-06-30,sh.601360,8.5800,8.6300,8.4600,8.5200,8.4900,68634013,585845713.0800,3,0.960500,1,0.353400,71.318612,1.781040,5.606000,-275.060067,0
2022-07-01,sh.601360,8.5000,8.5700,8.4000,8.4400,8.5200,43247565,365834893.3900,3,0.605300,1,-0.939000,70.648954,1.764316,5.553362,-272.477343,0
2022-07-04,sh.601360,8.5000,8.5200,8.3800,8.4200,8.4400,45926833,387055930.9900,3,0.642800,1,-0.237000,70.481539,1.760135,5.540202,-271.831662,0
2022-07-05,sh.601360,8.4300,8.4500,8.1700,8.2600,8.4200,64285914,532979028.4100,3,0.899700,1,-1.900200,69.142223,1.726689,5.434925,-266.666215,0
2022-07-06,sh.601360,8.2400,8.2600,8.0600,8.1100,8.2600,52485858,427089661.8000,3,0.734500,1,-1.816000,67.886613,1.695332,5.336228,-261.823608,0
2022-07-07,sh.601360,8.1300,8.1500,8.0800,8.1100,8.1100,28824195,233990404.2600,3,0.403400,1,0.000000,67.886613,1.695332,5.336228,-261.823608,0
2022-07-08,sh.601360,8.1200,8.2200,8.1100,8.1300,8.1100,33701973,275171063.7600,3,0.471700,1,0.246600,68.054028,1.699513,5.349388,-262.469289,0
2022-07-11,sh.601360,8.1100,8.1100,7.9300,7.9600,8.1300,49558202,395870546.3900,3,0.693600,1,-2.091000,66.631004,1.663976,5.237531,-256.981001,0
